"Feature ID","Feature Name","User Story","Expected Behaviour","Edge Cases","Validation Rules","Dependencies","Known Assumptions","Test Cases","Current Status","Defect Count","Severity","Notes","Last Tested Date"
"ORC-F001","CLI daemon startup","As an operator, I can start Orchestra with a WORKFLOW.md path and optional cockpit port so the daemon begins coordinating work.","`orchestra <WORKFLOW.md> [--port N]` parses one workflow path, accepts `--port N` or `--port=N`, loads config, logs startup, starts the orchestrator, and starts the loopback cockpit when a port is supplied.","Missing workflow path, malformed port, out-of-range port, port omitted, workflow load failure.","Port must be integer 1..65535. Workflow path must be present. Workflow must parse before loop start.","Node 22+, Effect runtime, `loadWorkflow`, app layer, optional cockpit server.","The single daemon CLI is the intended current architecture. The old Ink dashboard is not supported.","Automated: `test/harness.test.ts`, `pnpm check`. Live: built daemon started with `node dist/cli/main.js <wf> --port <port>`.","Pass","0","None","Live smoke verified daemon startup and cockpit binding.","2026-06-25"
"ORC-F002","Workflow front matter parsing and defaults","As an adopter, I can describe orchestration in WORKFLOW.md front matter while relying on defaults for omitted blocks.","Workflow content is split into YAML front matter plus trimmed Liquid body. Empty or missing front matter decodes to a complete `ServiceConfig`. Unknown keys are stripped. Path and env resolution runs after schema decode.","No front matter, unterminated front matter, non-map front matter, invalid YAML, invalid scalar types, missing env var references.","Positive integer schema for numeric knobs. `$VAR` resolves to env or becomes absent for optional secrets. Workspace path resolves to absolute.","`yaml`, Effect Schema, FileSystem, process env, workflow path directory.","Unknown keys are intentionally ignored for forward compatibility.","Automated: `test/workflow.test.ts`, `test/domain.test.ts`, `test/example-workflow.test.ts`, `pnpm check`.","Pass","0","None","Covers tracker, polling, workspace, hooks, agent, copilot, persistence, and budget defaults.","2026-06-25"
"ORC-F003","Strict prompt rendering","As a work author, I can write a Liquid issue prompt that renders from normalized issue and attempt context before the agent runs.","Prompt renders with strict variables and strict filters. Issue fields, labels, blocker refs, and retry context are available. Unknown variables or filters fail with typed template errors.","Missing optional fields, empty labels, empty blocker list, retry attempt present or absent, unknown Liquid variable, unknown filter.","Liquid engine uses strict variables and filters. Errors map to `TemplateParseError` or `TemplateRenderError`.","`liquidjs`, domain `Issue`, `PromptScope`, workflow body.","Templates are trusted repo configuration, not untrusted web input.","Automated: `test/workflow.test.ts`, `test/example-workflow.test.ts`, `pnpm check`.","Pass","0","None","No rendered prompt text is persisted by this QA artifact.","2026-06-25"
"ORC-F004","GitHub tracker fetch","As an operator, I can point Orchestra at a GitHub repository so issues become candidate work and terminal issues can be reconciled.","Adapter parses `owner/name`, creates Octokit with optional auth/baseUrl, fetches open issues for candidates, closed issues for terminal cleanup, and issue states by id for reconciliation. Pull requests are filtered out.","Malformed repo, missing token, GitHub request failure, non-404 lookup failure, 404 vanished issue, enterprise endpoint override.","Preflight requires `tracker.kind == github`, `repo`, and `api_key`. Adapter maps transport faults to typed tracker errors without logging secrets.","Octokit REST, resolved `ServiceConfig`, GitHub API.","Orchestra is a tracker reader. Agents perform tracker writes.","Automated: `test/tracker-github.test.ts`, preflight tests. Live: dummy token produced safe tracker warnings while cockpit stayed up.","Pass","0","None","Live smoke intentionally used dummy credentials and verified daemon resilience.","2026-06-25"
"ORC-F005","GitHub issue normalization","As the orchestrator, I need GitHub payloads normalized to one domain shape so downstream logic is tracker-independent.","Issue number maps to id and identifier. Labels flatten and lowercase. Priority labels map to numeric priority. Body blocker refs are parsed. State derives from status labels with closed issues taking terminal precedence.","Pull request payloads, null body, missing timestamps, closed issue with active label, not_planned close reason, repeated blockers, absent status labels.","Domain Schema validates `Issue` and `IssueStateRef`. Closed GitHub state wins over active labels. Unknown blocker state remains null.","GitHub REST payload shape, workflow active and terminal states.","Blocker-state lookup is not implemented. Unknown blockers conservatively block Todo issues.","Automated: `test/tracker-github.test.ts`, `test/domain.test.ts`, `pnpm check`.","Pass","0","None","Normalization prevents GitHub-shaped data from leaking into core modules.","2026-06-25"
"ORC-F006","Candidate eligibility and stable ordering","As an operator, I expect Orchestra to choose only eligible issues in deterministic priority order.","Eligible issues are active, non-terminal, not already claimed, carry all required labels, and are not Todo issues with unresolved blockers. Selected issues sort by priority, created_at, then identifier.","Terminal states, non-active states, already claimed issue, missing label, Todo with unknown blocker, In Progress with blocker, null priority/date.","States and labels normalize. Terminal blockers are resolved. Null blocker state is unresolved. Sort tiebreak is total.","Domain `Issue`, tracker states/labels, claimed set.","Only Todo issues are blocked by unresolved blockers. In Progress is assumed accepted for work.","Automated: `test/orchestrator-pure.test.ts` including property tests, `pnpm check`.","Pass","0","None","Selection itself never marks issues failed.","2026-06-25"
"ORC-F007","Dispatch concurrency planning","As an operator, I can cap global and per-state agent concurrency so the fleet does not overrun capacity.","Dispatch planning admits sorted candidates while respecting global free slots and per-state caps. States without override use the global cap. Already running agents count against budgets.","No slots, per-state cap lower than global, per-state key casing, more candidates than slots, transient negative availability.","Concurrency values are positive integers. Free slots clamp at zero. State keys normalize.","Workflow agent config, running sessions by state, candidate list.","Greedy order is intended because candidates are already priority sorted.","Automated: `test/orchestrator-pure.test.ts` concurrency cases and property tests, `pnpm check`.","Pass","0","None","Budget and operator pause can still reduce dispatch to zero.","2026-06-25"
"ORC-F008","Workspace lifecycle and hook execution","As an agent runner, I get an isolated per-issue workspace with trusted lifecycle hooks executed safely around work.","Workspace keys are sanitized, paths must stay under `workspace.root`, directories are created recursively, `after_create` runs only on first creation, configured hooks run in workspace cwd with timeout, output is truncated, and terminal workspaces can be cleaned.","Identifier `..`, unusual characters, existing workspace, hook timeout, hook non-zero, missing root, failing before_remove, terminal cleanup missing dirs.","Path-under-root invariant. Hook timeout positive. Hook output one-line truncated. `before_remove` failure is best-effort.","FileSystem, CommandExecutor, workflow workspace/hooks config.","Hook scripts are trusted repo/operator configuration.","Automated: `test/workspace-safety.test.ts`, `test/workspace-manager.test.ts`, `test/orchestrator-loop.test.ts`, `pnpm check`.","Pass","0","None","No source workspace was touched during validation.","2026-06-25"
"ORC-F009","Copilot subprocess runner","As Orchestra, I can run a headless Copilot turn in the issue workspace and stream normalized events back to the loop.","Runner spawns configured Copilot command with prompt, JSON output, workspace `-C`, OS cwd pinned to workspace, auto tools, no color, generated or resumed session id, optional model, and GitHub token env. It emits `SessionStarted`, maps stdout, fails on terminal errors, and times out long turns.","Command not found, malformed JSONL, missing result, non-zero result, input required, stdout read failure, timeout disabled, resume id present.","`turn_timeout_ms > 0` enforces timeout. Missing successful result yields `AgentProcessExit`. Tokens are only passed via env and never logged.","GitHub Copilot CLI, CommandExecutor, `mapCopilotLine`, resolved tracker token.","Copilot owns remote session liveness. Resume is best-effort.","Automated: `test/agent-copilot.test.ts`, `pnpm check`.","Pass","0","None","Subprocess integration is covered with controlled test commands, not a live Copilot account.","2026-06-25"
"ORC-F010","Copilot JSONL event mapping","As the orchestrator, I receive a stable internal event vocabulary regardless of Copilot transport details.","Blank lines drop. Malformed lines emit `Malformed`. Assistant messages emit `AgentMessage` and non-empty `Notification`. Result success emits `TurnCompleted`. Result failure, session error, model failure, and input-required become typed terminal failures. Permission events surface auto-approval.","Unparseable JSON, typeless object, missing content, missing usage fields, unknown event type, invalid timestamp.","Mapper never throws. Usage maps numeric fields only. Empty type is malformed. Fallback timestamp is injected.","Copilot JSONL format, domain `AgentEvent`, typed errors.","Only operationally meaningful events are surfaced. Streaming deltas are intentionally omitted.","Automated: `test/agent-copilot.test.ts`, `test/domain.test.ts`, `pnpm check`.","Pass","0","None","Human summaries map by tag only to avoid payload leakage.","2026-06-25"
